,label
cell_101,E5Galnt14
cell_102,Ast
cell_103,E6Tle4
cell_104,OliM
cell_105,Ast
cell_106,E2Rasgrf2
cell_107,E5Sulf1
cell_108,E2Rasgrf2
cell_109,Mic
cell_110,E5Galnt14
cell_111,E5Galnt14
cell_112,E2Rasgrf2
cell_113,OliM
cell_114,E6Tle4
cell_115,E6Tle4
cell_116,Ast
cell_117,E3Rorb
cell_118,E4Il1rapl2
cell_119,Ast
cell_120,E3Rorb
cell_121,Clau
cell_122,E2Rasgrf2
cell_123,E3Rorb
cell_124,E6Tle4
cell_125,Mic
cell_126,E2Rasgrf2
cell_127,E6Tle4
cell_128,InS
cell_129,E2Rasgrf2
cell_130,E2Rasgrf2
cell_131,InP
cell_132,OliM
cell_133,OPC
cell_134,Mic
cell_135,OliM
cell_136,E4Il1rapl2
cell_137,E3Rmst
cell_138,E4Il1rapl2
cell_139,E4Thsd7a
cell_140,E2Rasgrf2
cell_141,E5Galnt14
cell_142,OliM
cell_143,E4Thsd7a
cell_144,E5Galnt14
cell_145,InS
cell_146,E4Thsd7a
cell_147,E2Rasgrf2
cell_148,E4Il1rapl2
cell_149,E2Rasgrf2
cell_150,E2Rasgrf2
cell_151,E2Rasgrf2
cell_152,E5Parm1
cell_153,E5Parm1
cell_154,InS
cell_155,E4Thsd7a
cell_156,E4Il1rapl2
cell_157,E4Thsd7a
cell_158,E4Il1rapl2
cell_159,E4Il1rapl2
cell_160,E2Rasgrf2
cell_161,E3Rorb
cell_162,E4Il1rapl2
cell_163,E4Il1rapl2
cell_164,E3Rorb
cell_165,E3Rorb
cell_166,E5Galnt14
cell_167,E4Thsd7a
cell_168,E5Sulf1
cell_169,E2Rasgrf2
cell_170,E3Rorb
cell_171,E3Rorb
cell_172,E5Galnt14
cell_173,E2Rasgrf2
cell_174,E6Tle4
cell_175,E2Rasgrf2
cell_176,E4Il1rapl2
cell_177,E6Tle4
cell_178,E3Rorb
cell_179,E5Galnt14
cell_180,E5Parm1
cell_181,E2Rasgrf2
cell_182,E3Rorb
cell_183,OliM
cell_184,E2Rasgrf2
cell_185,E3Rorb
cell_186,E2Rasgrf2
cell_187,E2Rasgrf2
cell_188,E2Rasgrf2
cell_189,E5Parm1
cell_190,E6Tle4
cell_191,E5Galnt14
cell_192,E2Rasgrf2
cell_193,Mic
cell_194,E6Tle4
cell_195,E6Tle4
cell_196,E6Tle4
cell_197,E3Rmst
cell_198,E5Galnt14
cell_199,E3Rorb
cell_200,E6Tle4
cell_201,E3Rorb
cell_202,InP
cell_203,E2Rasgrf2
cell_204,E2Rasgrf2
cell_205,E5Parm1
cell_206,E6Tle4
cell_207,E2Rasgrf2
cell_208,E2Rasgrf2
cell_209,E2Rasgrf2
cell_210,E4Il1rapl2
cell_211,InP
cell_212,E3Rorb
cell_213,E4Thsd7a
cell_214,E2Rasgrf2
cell_215,E4Thsd7a
cell_216,E5Parm1
cell_217,E4Il1rapl2
cell_218,E6Tle4
cell_219,E3Rorb
cell_220,E6Tle4
cell_221,E6Tle4
cell_222,E3Rorb
cell_223,E6Tle4
cell_224,E2Rasgrf2
cell_225,E3Rorb
cell_226,E3Rorb
cell_227,E2Rasgrf2
cell_228,E3Rorb
cell_229,E2Rasgrf2
cell_230,E6Tle4
cell_231,E3Rorb
cell_232,E6Tle4
cell_233,E2Rasgrf2
cell_234,OliI
cell_235,E6Tle4
cell_236,E4Thsd7a
cell_237,E2Rasgrf2
cell_238,E2Rasgrf2
cell_239,InN
cell_240,E4Thsd7a
cell_241,E6Tle4
cell_242,E2Rasgrf2
cell_243,E3Rorb
cell_244,E6Tle4
cell_245,E2Rasgrf2
cell_246,E4Il1rapl2
cell_247,E4Il1rapl2
cell_248,E6Tle4
cell_249,E2Rasgrf2
cell_250,E5Parm1
cell_251,E6Tle4
cell_252,E3Rorb
cell_253,E2Rasgrf2
cell_254,E3Rorb
cell_255,E4Thsd7a
cell_256,E4Thsd7a
cell_257,E2Rasgrf2
cell_258,E3Rmst
cell_259,E5Galnt14
cell_260,E6Tle4
cell_261,E5Sulf1
cell_262,E6Tle4
cell_263,E3Rorb
cell_264,E2Rasgrf2
cell_265,E6Tle4
cell_266,E3Rorb
cell_267,E4Thsd7a
cell_268,E3Rmst
cell_269,InP
cell_270,E4Il1rapl2
cell_271,E5Parm1
cell_272,E2Rasgrf2
cell_273,InS
cell_274,Ast
cell_275,Ast
cell_276,Ast
cell_277,Ast
cell_278,InV
cell_279,E2Rasgrf2
cell_280,E2Rasgrf2
cell_281,E2Rasgrf2
cell_282,Peri
cell_283,Clau
cell_284,E3Rmst
cell_285,E2Rasgrf2
cell_286,InN
cell_287,InV
cell_288,E2Rasgrf2
cell_289,OliM
cell_290,Ast
cell_291,E3Rorb
cell_292,E5Galnt14
cell_293,Ast
cell_294,E3Rorb
cell_295,E6Tle4
cell_296,OliM
cell_297,E2Rasgrf2
cell_298,InP
cell_299,E5Galnt14
cell_300,E5Sulf1
cell_301,E5Sulf1
cell_302,E6Tle4
cell_303,E6Tle4
cell_304,OliM
cell_305,E3Rorb
cell_306,OliM
cell_307,E2Rasgrf2
cell_308,E5Parm1
cell_309,E5Parm1
cell_310,E4Thsd7a
cell_311,E3Rmst
cell_312,E2Rasgrf2
cell_313,InS
cell_314,E5Parm1
cell_315,E2Rasgrf2
cell_316,E4Il1rapl2
cell_317,E4Thsd7a
cell_318,E6Tle4
cell_319,E2Rasgrf2
cell_320,InS
cell_321,E2Rasgrf2
cell_322,E2Rasgrf2
cell_323,E6Tle4
cell_324,E2Rasgrf2
cell_325,E5Parm1
cell_326,E2Rasgrf2
cell_327,E2Rasgrf2
cell_328,E6Tle4
cell_329,E6Tle4
cell_330,E4Thsd7a
cell_331,E6Tle4
cell_332,E4Thsd7a
cell_333,E2Rasgrf2
cell_334,E4Thsd7a
cell_335,E2Rasgrf2
cell_336,E2Rasgrf2
cell_337,E4Il1rapl2
cell_338,E3Rorb
cell_339,E2Rasgrf2
cell_340,E4Thsd7a
cell_341,E6Tle4
cell_342,E5Parm1
cell_343,E2Rasgrf2
cell_344,E6Tle4
cell_345,E5Parm1
cell_346,E2Rasgrf2
cell_347,E6Tle4
cell_348,E5Galnt14
cell_349,Ast
cell_350,E2Rasgrf2
cell_351,E4Il1rapl2
cell_352,E4Thsd7a
cell_353,E3Rorb
cell_354,E6Tle4
cell_355,E4Thsd7a
cell_356,E6Tle4
cell_357,E3Rorb
cell_358,E3Rorb
cell_359,E3Rorb
cell_360,E5Galnt14
cell_361,E2Rasgrf2
cell_362,E4Il1rapl2
cell_363,E6Tle4
cell_364,E2Rasgrf2
cell_365,E3Rorb
cell_366,InP
cell_367,E4Il1rapl2
cell_368,E2Rasgrf2
cell_369,E2Rasgrf2
cell_370,E3Rorb
cell_371,OliM
cell_372,E6Tle4
cell_373,E2Rasgrf2
cell_374,E4Il1rapl2
cell_375,E3Rorb
cell_376,E2Rasgrf2
cell_377,InS
cell_378,E3Rorb
cell_379,E2Rasgrf2
cell_380,E6Tle4
cell_381,E4Thsd7a
cell_382,E4Thsd7a
cell_383,E5Galnt14
cell_384,E5Galnt14
cell_385,E2Rasgrf2
cell_386,Clau
cell_387,InN
cell_388,E3Rorb
cell_389,E3Rorb
cell_390,E5Sulf1
cell_391,E4Il1rapl2
cell_392,E2Rasgrf2
cell_393,InV
cell_394,E5Parm1
cell_395,E5Tshz2
cell_396,E2Rasgrf2
cell_397,E6Tle4
cell_398,E5Galnt14
cell_399,E3Rorb
cell_400,InN
cell_401,E6Tle4
cell_402,E6Tle4
cell_403,E3Rorb
cell_404,E6Tle4
cell_405,E5Parm1
cell_406,E6Tle4
cell_407,E5Tshz2
cell_408,E6Tle4
cell_409,E2Rasgrf2
cell_410,E3Rorb
cell_411,E3Rorb
cell_412,E2Rasgrf2
cell_413,E5Tshz2
cell_414,E6Tle4
cell_415,E2Rasgrf2
cell_416,E2Rasgrf2
cell_417,InV
cell_418,Ast
cell_419,E3Rorb
cell_420,E6Tle4
cell_421,Ast
cell_422,E6Tle4
cell_423,E2Rasgrf2
cell_424,E3Rorb
cell_425,E5Sulf1
cell_426,E6Tle4
cell_427,E2Rasgrf2
cell_428,E2Rasgrf2
cell_429,E6Tle4
cell_430,E2Rasgrf2
cell_431,InN
cell_432,E6Tle4
cell_433,E2Rasgrf2
cell_434,E6Tle4
cell_435,OPC
cell_436,Ast
cell_437,E6Tle4
cell_438,Ast
cell_439,E6Tle4
cell_440,E5Parm1
cell_441,E4Thsd7a
cell_442,E2Rasgrf2
cell_443,E3Rorb
cell_444,OliM
cell_445,E6Tle4
cell_446,E3Rorb
cell_447,Ast
cell_448,E4Il1rapl2
cell_449,E2Rasgrf2
cell_450,E4Thsd7a
cell_451,E2Rasgrf2
cell_452,E5Galnt14
cell_453,Clau
cell_454,Ast
cell_455,OliM
cell_456,E2Rasgrf2
cell_457,E4Il1rapl2
cell_458,InP
cell_459,E5Sulf1
cell_460,E5Parm1
cell_461,E4Thsd7a
cell_462,E2Rasgrf2
cell_463,E6Tle4
cell_464,E5Sulf1
cell_465,E4Il1rapl2
cell_466,E2Rasgrf2
cell_467,E4Il1rapl2
cell_468,E4Thsd7a
cell_469,E5Parm1
cell_470,InP
cell_471,E4Il1rapl2
cell_472,E5Galnt14
cell_473,E2Rasgrf2
cell_474,E3Rmst
cell_475,E4Il1rapl2
cell_476,E6Tle4
cell_477,E2Rasgrf2
cell_478,E3Rmst
cell_479,E3Rmst
cell_480,E5Parm1
cell_481,E6Tle4
cell_482,E2Rasgrf2
cell_483,E2Rasgrf2
cell_484,OliM
cell_485,E4Thsd7a
cell_486,E5Parm1
cell_487,E4Thsd7a
cell_488,E4Thsd7a
cell_489,E2Rasgrf2
cell_490,E5Galnt14
cell_491,E4Thsd7a
cell_492,E4Il1rapl2
cell_493,E5Parm1
cell_494,E2Rasgrf2
cell_495,InS
cell_496,E5Parm1
cell_497,E2Rasgrf2
cell_498,InS
cell_499,E4Thsd7a
cell_500,E6Tle4
cell_501,E3Rorb
cell_502,E6Tle4
cell_503,E5Parm1
cell_504,E2Rasgrf2
cell_505,E4Thsd7a
cell_506,E5Galnt14
cell_507,E6Tle4
cell_508,E5Galnt14
cell_509,E6Tle4
cell_510,E2Rasgrf2
cell_511,E5Parm1
cell_512,E3Rorb
cell_513,E2Rasgrf2
cell_514,E2Rasgrf2
cell_515,E3Rorb
cell_516,InP
cell_517,E3Rorb
cell_518,E4Thsd7a
cell_519,E2Rasgrf2
cell_520,E2Rasgrf2
cell_521,E2Rasgrf2
cell_522,InP
cell_523,E2Rasgrf2
cell_524,E3Rorb
cell_525,E3Rorb
cell_526,E6Tle4
cell_527,E5Galnt14
cell_528,E3Rorb
cell_529,E6Tle4
cell_530,Clau
cell_531,E2Rasgrf2
cell_532,E4Thsd7a
cell_533,E2Rasgrf2
cell_534,E3Rorb
cell_535,E5Galnt14
cell_536,E6Tle4
cell_537,E3Rorb
cell_538,E4Thsd7a
cell_539,OliM
cell_540,E3Rorb
cell_541,E3Rorb
cell_542,E6Tle4
cell_543,InP
cell_544,E5Parm1
cell_545,E5Galnt14
cell_546,InV
cell_547,E3Rorb
cell_548,E2Rasgrf2
cell_549,E6Tle4
cell_550,InS
cell_551,E2Rasgrf2
cell_552,E3Rorb
cell_553,E3Rorb
cell_554,InS
cell_555,InP
cell_556,E6Tle4
cell_557,E5Tshz2
cell_558,E5Parm1
cell_559,E3Rorb
cell_560,E2Rasgrf2
cell_561,E5Galnt14
cell_562,Clau
cell_563,E2Rasgrf2
cell_564,E2Rasgrf2
cell_565,E5Sulf1
cell_566,E5Galnt14
cell_567,E3Rorb
cell_568,E2Rasgrf2
cell_569,InP
cell_570,E6Tle4
cell_571,InS
cell_572,E2Rasgrf2
cell_573,E6Tle4
cell_574,Ast
cell_575,InN
cell_576,E2Rasgrf2
cell_577,E2Rasgrf2
cell_578,E5Parm1
cell_579,E5Galnt14
cell_580,E4Thsd7a
cell_581,Ast
cell_582,E2Rasgrf2
cell_583,E6Tle4
cell_584,E2Rasgrf2
cell_585,E3Rorb
cell_586,E6Tle4
cell_587,E2Rasgrf2
cell_588,E4Il1rapl2
cell_589,E2Rasgrf2
cell_590,E6Tle4
cell_591,Ast
cell_592,E2Rasgrf2
cell_593,E4Il1rapl2
cell_594,Ast
cell_595,E3Rorb
cell_596,E6Tle4
cell_597,E2Rasgrf2
cell_598,Ast
cell_599,E6Tle4
cell_600,E3Rorb
cell_601,E5Sulf1
cell_602,E4Il1rapl2
cell_603,OliM
cell_604,OliM
cell_605,Endo
cell_606,E6Tle4
cell_607,E2Rasgrf2
cell_608,E3Rorb
cell_609,E6Tle4
cell_610,E2Rasgrf2
cell_611,InS
cell_612,E5Galnt14
cell_613,E2Rasgrf2
cell_614,E2Rasgrf2
cell_615,E2Rasgrf2
cell_616,E5Parm1
cell_617,E5Parm1
cell_618,E3Rorb
cell_619,E5Galnt14
cell_620,E4Il1rapl2
cell_621,E3Rorb
cell_622,E6Tle4
cell_623,Clau
cell_624,E5Parm1
cell_625,E2Rasgrf2
cell_626,E2Rasgrf2
cell_627,E6Tle4
cell_628,InV
cell_629,E4Il1rapl2
cell_630,InP
cell_631,E2Rasgrf2
cell_632,E5Parm1
cell_633,E3Rorb
cell_634,E3Rorb
cell_635,E5Galnt14
cell_636,E2Rasgrf2
cell_637,E2Rasgrf2
cell_638,E5Sulf1
cell_639,E6Tle4
cell_640,E4Thsd7a
cell_641,Clau
cell_642,E2Rasgrf2
cell_643,E4Thsd7a
cell_644,E3Rorb
cell_645,E4Il1rapl2
cell_646,E2Rasgrf2
cell_647,E6Tle4
cell_648,E2Rasgrf2
cell_649,E5Parm1
cell_650,E4Il1rapl2
cell_651,E4Il1rapl2
cell_652,E3Rmst
cell_653,E6Tle4
cell_654,E3Rorb
cell_655,E2Rasgrf2
cell_656,E3Rorb
cell_657,E3Rmst
cell_658,E2Rasgrf2
cell_659,E6Tle4
cell_660,InV
cell_661,E3Rorb
cell_662,E6Tle4
cell_663,E2Rasgrf2
cell_664,E2Rasgrf2
cell_665,E3Rorb
cell_666,OliM
cell_667,E3Rorb
cell_668,E2Rasgrf2
cell_669,E3Rorb
cell_670,InV
cell_671,E3Rorb
cell_672,E5Galnt14
cell_673,E6Tle4
cell_674,E2Rasgrf2
cell_675,E2Rasgrf2
cell_676,E3Rorb
cell_677,E2Rasgrf2
cell_678,E2Rasgrf2
cell_679,E6Tle4
cell_680,E6Tle4
cell_681,E2Rasgrf2
cell_682,E3Rorb
cell_683,E3Rorb
cell_684,OliM
cell_685,E5Galnt14
cell_686,E6Tle4
cell_687,E6Tle4
cell_688,E6Tle4
cell_689,E3Rorb
cell_690,E3Rmst
cell_691,E2Rasgrf2
cell_692,E4Il1rapl2
cell_693,E6Tle4
cell_694,E3Rorb
cell_695,E3Rmst
cell_696,E2Rasgrf2
cell_697,E2Rasgrf2
cell_698,E3Rorb
cell_699,E3Rorb
cell_700,E4Thsd7a
cell_701,E3Rorb
cell_702,InS
cell_703,E4Thsd7a
cell_704,E2Rasgrf2
cell_705,E2Rasgrf2
cell_706,E5Sulf1
cell_707,E4Thsd7a
cell_708,E2Rasgrf2
cell_709,Ast
cell_710,E3Rorb
cell_711,E4Il1rapl2
cell_712,E4Il1rapl2
cell_713,E4Il1rapl2
cell_714,E4Thsd7a
cell_715,E5Galnt14
cell_716,E3Rorb
cell_717,InV
cell_718,E2Rasgrf2
cell_719,E3Rorb
cell_720,E5Parm1
cell_721,E3Rorb
cell_722,Mic
cell_723,OliI
cell_724,E2Rasgrf2
cell_725,E3Rorb
cell_726,InV
cell_727,E4Il1rapl2
cell_728,InN
cell_729,E5Sulf1
cell_730,E5Galnt14
cell_731,E3Rorb
cell_732,E4Il1rapl2
cell_733,Ast
cell_734,E2Rasgrf2
cell_735,E4Thsd7a
cell_736,Ast
cell_737,E2Rasgrf2
cell_738,Ast
cell_739,E2Rasgrf2
cell_740,E2Rasgrf2
cell_741,E2Rasgrf2
cell_742,E2Rasgrf2
cell_743,Ast
cell_744,Clau
cell_745,OliM
cell_746,E2Rasgrf2
cell_747,Ast
cell_748,E2Rasgrf2
cell_749,InV
cell_750,E3Rorb
cell_751,E5Tshz2
cell_752,Ast
cell_753,OliM
cell_754,E6Tle4
cell_755,E3Rorb
cell_756,E6Tle4
cell_757,Mic
cell_758,E5Sulf1
cell_759,Ast
cell_760,E4Thsd7a
cell_761,E2Rasgrf2
cell_762,E3Rmst
cell_763,E2Rasgrf2
cell_764,E4Thsd7a
cell_765,E4Il1rapl2
cell_766,E4Il1rapl2
cell_767,E2Rasgrf2
cell_768,E4Il1rapl2
cell_769,E4Il1rapl2
cell_770,Mic
cell_771,E5Parm1
cell_772,E2Rasgrf2
cell_773,E4Il1rapl2
cell_774,E4Il1rapl2
cell_775,E4Il1rapl2
cell_776,E4Il1rapl2
cell_777,E4Il1rapl2
cell_778,E2Rasgrf2
cell_779,E3Rmst
cell_780,InN
cell_781,E5Galnt14
cell_782,OliM
cell_783,E2Rasgrf2
cell_784,E2Rasgrf2
cell_785,Ast
cell_786,OPC
cell_787,E4Il1rapl2
cell_788,E2Rasgrf2
cell_789,E5Galnt14
cell_790,E6Tle4
cell_791,E5Parm1
cell_792,E5Parm1
cell_793,E5Galnt14
cell_794,E3Rorb
cell_795,E4Thsd7a
cell_796,E4Il1rapl2
cell_797,E2Rasgrf2
cell_798,E3Rorb
cell_799,E2Rasgrf2
cell_800,E2Rasgrf2
cell_801,E5Tshz2
cell_802,E2Rasgrf2
cell_803,E6Tle4
cell_804,E2Rasgrf2
cell_805,E5Galnt14
cell_806,E4Thsd7a
cell_807,E2Rasgrf2
cell_808,E3Rorb
cell_809,E6Tle4
cell_810,E4Il1rapl2
cell_811,E2Rasgrf2
cell_812,E2Rasgrf2
cell_813,E4Thsd7a
cell_814,E2Rasgrf2
cell_815,E5Galnt14
cell_816,E2Rasgrf2
cell_817,E5Sulf1
cell_818,E2Rasgrf2
cell_819,E5Sulf1
cell_820,E3Rorb
cell_821,E3Rorb
cell_822,E3Rmst
cell_823,E3Rorb
cell_824,E6Tle4
cell_825,E3Rorb
cell_826,E5Sulf1
cell_827,E5Sulf1
cell_828,E3Rorb
cell_829,E2Rasgrf2
cell_830,E3Rorb
cell_831,E2Rasgrf2
cell_832,InS
cell_833,E3Rorb
cell_834,E3Rorb
cell_835,E2Rasgrf2
cell_836,E5Galnt14
cell_837,E6Tle4
cell_838,E3Rorb
cell_839,E3Rorb
cell_840,E3Rorb
cell_841,E3Rorb
cell_842,E6Tle4
cell_843,E6Tle4
cell_844,E5Parm1
cell_845,E6Tle4
cell_846,E2Rasgrf2
cell_847,E3Rorb
cell_848,E3Rorb
cell_849,E5Galnt14
cell_850,E3Rorb
cell_851,InN
cell_852,E3Rorb
cell_853,E2Rasgrf2
cell_854,InP
cell_855,E3Rorb
cell_856,E2Rasgrf2
cell_857,E3Rmst
cell_858,E6Tle4
cell_859,E6Tle4
cell_860,E5Galnt14
cell_861,E3Rorb
cell_862,E5Galnt14
cell_863,E6Tle4
cell_864,E2Rasgrf2
cell_865,E5Galnt14
cell_866,E3Rorb
cell_867,Ast
cell_868,E6Tle4
cell_869,E6Tle4
cell_870,E2Rasgrf2
cell_871,E2Rasgrf2
cell_872,E2Rasgrf2
cell_873,E2Rasgrf2
cell_874,E5Parm1
cell_875,OPC
cell_876,Peri
cell_877,E3Rorb
cell_878,E5Galnt14
cell_879,E6Tle4
cell_880,E2Rasgrf2
cell_881,E6Tle4
cell_882,E5Galnt14
cell_883,InP
cell_884,E6Tle4
cell_885,E2Rasgrf2
cell_886,InN
cell_887,E3Rorb
cell_888,E3Rorb
cell_889,Ast
cell_890,E6Tle4
cell_891,E3Rorb
cell_892,InP
cell_893,E2Rasgrf2
cell_894,E6Tle4
cell_895,E5Galnt14
cell_896,E3Rorb
cell_897,E2Rasgrf2
cell_898,OliM
cell_899,E6Tle4
cell_900,InP
cell_901,E6Tle4
cell_902,E4Thsd7a
cell_903,E3Rorb
cell_904,E3Rorb
cell_905,E2Rasgrf2
cell_906,E4Il1rapl2
cell_907,E2Rasgrf2
cell_908,E3Rorb
cell_909,E2Rasgrf2
cell_910,E2Rasgrf2
cell_911,E5Parm1
cell_912,InS
cell_913,E2Rasgrf2
cell_914,E2Rasgrf2
cell_915,E2Rasgrf2
cell_916,E3Rorb
cell_917,E2Rasgrf2
cell_918,Ast
cell_919,InP
cell_920,InP
cell_921,E6Tle4
cell_922,Ast
cell_923,Ast
cell_924,InP
cell_925,OliM
cell_926,InV
cell_927,OliM
cell_928,E6Tle4
cell_929,Ast
cell_930,InN
cell_931,E3Rorb
cell_932,E3Rorb
cell_933,E3Rorb
cell_934,OliM
cell_935,E5Sulf1
cell_936,OPC
cell_937,OPC
cell_938,E4Il1rapl2
cell_939,E2Rasgrf2
cell_940,Ast
cell_941,E2Rasgrf2
cell_942,E5Tshz2
cell_943,E5Galnt14
cell_944,E3Rorb
cell_945,E4Thsd7a
cell_946,E3Rorb
cell_947,E3Rorb
cell_948,E5Parm1
cell_949,E2Rasgrf2
cell_950,E5Parm1
cell_951,E2Rasgrf2
cell_952,E5Galnt14
cell_953,E5Galnt14
cell_954,E5Galnt14
cell_955,OliI
cell_956,InP
cell_957,E2Rasgrf2
cell_958,E4Thsd7a
cell_959,E2Rasgrf2
cell_960,E2Rasgrf2
cell_961,E4Il1rapl2
cell_962,E4Il1rapl2
cell_963,E5Sulf1
cell_964,E2Rasgrf2
cell_965,InV
cell_966,InV
cell_967,E3Rorb
cell_968,E2Rasgrf2
cell_969,E6Tle4
cell_970,E2Rasgrf2
cell_971,E2Rasgrf2
cell_972,E2Rasgrf2
cell_973,Ast
cell_974,InN
cell_975,E2Rasgrf2
cell_976,Clau
cell_977,E4Il1rapl2
cell_978,E5Galnt14
cell_979,E2Rasgrf2
cell_980,E4Il1rapl2
cell_981,E2Rasgrf2
cell_982,InV
cell_983,E5Parm1
cell_984,E2Rasgrf2
cell_985,E4Il1rapl2
cell_986,E3Rmst
cell_987,E5Galnt14
cell_988,E2Rasgrf2
cell_989,E4Il1rapl2
cell_990,E4Il1rapl2
cell_991,InV
cell_992,E6Tle4
cell_993,E6Tle4
cell_994,E6Tle4
cell_995,E4Thsd7a
cell_996,E3Rorb
cell_997,E3Rorb
cell_998,E6Tle4
cell_999,E4Il1rapl2
cell_1000,E2Rasgrf2
cell_1001,E2Rasgrf2
cell_1002,E5Galnt14
cell_1003,Ast
cell_1004,E6Tle4
cell_1005,E3Rorb
cell_1006,E5Galnt14
cell_1007,E2Rasgrf2
cell_1008,E5Sulf1
cell_1009,E2Rasgrf2
cell_1010,E3Rorb
cell_1011,E5Sulf1
cell_1012,E2Rasgrf2
cell_1013,E5Parm1
cell_1014,E2Rasgrf2
cell_1015,OliM
cell_1016,E3Rorb
cell_1017,InN
cell_1018,E6Tle4
cell_1019,E2Rasgrf2
cell_1020,InN
cell_1021,E4Il1rapl2
cell_1022,E4Il1rapl2
cell_1023,E5Tshz2
cell_1024,E6Tle4
cell_1025,E3Rorb
cell_1026,E3Rorb
cell_1027,E3Rorb
cell_1028,E2Rasgrf2
cell_1029,E6Tle4
cell_1030,E6Tle4
cell_1031,E6Tle4
cell_1032,Mic
cell_1033,Clau
cell_1034,E6Tle4
cell_1035,E6Tle4
cell_1036,E6Tle4
cell_1037,InV
cell_1038,InP
cell_1039,E4Il1rapl2
cell_1040,E3Rorb
cell_1041,E5Galnt14
cell_1042,E2Rasgrf2
cell_1043,E5Parm1
cell_1044,Clau
cell_1045,E6Tle4
cell_1046,E3Rorb
cell_1047,E4Il1rapl2
cell_1048,E5Galnt14
cell_1049,E6Tle4
cell_1050,E4Il1rapl2
cell_1051,InS
cell_1052,E2Rasgrf2
cell_1053,Ast
cell_1054,E5Tshz2
cell_1055,E6Tle4
cell_1056,E2Rasgrf2
cell_1057,InV
cell_1058,InP
cell_1059,E3Rorb
cell_1060,E4Thsd7a
cell_1061,InS
cell_1062,E2Rasgrf2
cell_1063,E2Rasgrf2
cell_1064,E6Tle4
cell_1065,E2Rasgrf2
cell_1066,E4Thsd7a
cell_1067,E5Parm1
cell_1068,InP
cell_1069,OPC
cell_1070,E6Tle4
cell_1071,E3Rorb
cell_1072,E2Rasgrf2
cell_1073,E3Rorb
cell_1074,E3Rorb
cell_1075,InP
cell_1076,E2Rasgrf2
cell_1077,OPC
cell_1078,E4Thsd7a
cell_1079,Ast
cell_1080,Ast
cell_1081,E4Thsd7a
cell_1082,Ast
cell_1083,Endo
cell_1084,Ast
cell_1085,E4Il1rapl2
cell_1086,E3Rorb
cell_1087,OliM
cell_1088,Ast
cell_1089,E2Rasgrf2
cell_1090,OPC
cell_1091,E6Tle4
cell_1092,E3Rorb
cell_1093,Ast
cell_1094,Ast
cell_1095,E3Rorb
cell_1096,E2Rasgrf2
cell_1097,OliM
cell_1098,E5Sulf1
cell_1099,InS
cell_1100,OliM
cell_1101,OliI
cell_1102,OPC
cell_1103,Ast
cell_1104,E5Parm1
cell_1105,E6Tle4
cell_1106,E5Parm1
cell_1107,InP
cell_1108,E5Parm1
cell_1109,E5Parm1
cell_1110,E2Rasgrf2
cell_1111,E2Rasgrf2
cell_1112,E5Parm1
cell_1113,E4Il1rapl2
