cell ID:  0 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E4Il1rapl2 	 	 probability: 0.36
cell ID:  75 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E4Il1rapl2 	 	 probability: 0.92
cell ID:  76 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.89
cell ID:  77 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.92
cell ID:  78 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.94
cell ID:  79 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.88
cell ID:  80 	 	 real cell type: OliI 	 	 predicted cell type: OliI 	 	 probability: 0.96
cell ID:  81 	 	 real cell type: E5Parm1 	 	 predicted cell type: E5Parm1 	 	 probability: 0.75
cell ID:  82 	 	 real cell type: InP 	 	 predicted cell type: InP 	 	 probability: 0.94
cell ID:  83 	 	 real cell type: E3Rorb 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.35
cell ID:  84 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.34
cell ID:  85 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.9
cell ID:  86 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.9
cell ID:  87 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.9
cell ID:  88 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E4Il1rapl2 	 	 probability: 0.71
cell ID:  89 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.84
cell ID:  90 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.89
cell ID:  91 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.66
cell ID:  92 	 	 real cell type: Mic 	 	 predicted cell type: OliM 	 	 probability: 0.72
cell ID:  93 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.91
cell ID:  94 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.45
cell ID:  95 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E4Thsd7a 	 	 probability: 0.8
cell ID:  96 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.85
cell ID:  97 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.88
cell ID:  98 	 	 real cell type: Ast 	 	 predicted cell type: Ast 	 	 probability: 0.95
cell ID:  99 	 	 real cell type: Clau 	 	 predicted cell type: Clau 	 	 probability: 0.87
cell ID:  100 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.95
cell ID:  101 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.89
cell ID:  102 	 	 real cell type: InV 	 	 predicted cell type: InN 	 	 probability: 0.85
cell ID:  103 	 	 real cell type: InV 	 	 predicted cell type: InV 	 	 probability: 0.67
cell ID:  104 	 	 real cell type: Ast 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.92
cell ID:  105 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.91
cell ID:  106 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.7
cell ID:  107 	 	 real cell type: E3Rmst 	 	 predicted cell type: E3Rorb 	 	 probability: 0.92
cell ID:  108 	 	 real cell type: E3Rorb 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.87
cell ID:  109 	 	 real cell type: Peri 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.92
cell ID:  110 	 	 real cell type: E5Parm1 	 	 predicted cell type: E5Parm1 	 	 probability: 0.62
cell ID:  111 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E6Tle4 	 	 probability: 0.92
cell ID:  112 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.92
cell ID:  113 	 	 real cell type: InV 	 	 predicted cell type: InV 	 	 probability: 0.98
cell ID:  114 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E4Il1rapl2 	 	 probability: 0.93
cell ID:  115 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.91
cell ID:  116 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.57
cell ID:  117 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.48
cell ID:  118 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.79
cell ID:  119 	 	 real cell type: Ast 	 	 predicted cell type: Ast 	 	 probability: 0.96
cell ID:  120 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.9
cell ID:  121 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.91
cell ID:  122 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.89
cell ID:  123 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E3Rorb 	 	 probability: 0.71
cell ID:  124 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.94
cell ID:  125 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.87
cell ID:  126 	 	 real cell type: Ast 	 	 predicted cell type: Ast 	 	 probability: 0.95
cell ID:  127 	 	 real cell type: Ast 	 	 predicted cell type: Ast 	 	 probability: 0.96
cell ID:  128 	 	 real cell type: Ast 	 	 predicted cell type: Ast 	 	 probability: 0.94
cell ID:  129 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.93
cell ID:  130 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.95
cell ID:  131 	 	 real cell type: OliM 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.9
cell ID:  132 	 	 real cell type: Ast 	 	 predicted cell type: Ast 	 	 probability: 0.95
cell ID:  133 	 	 real cell type: Clau 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.73
cell ID:  134 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.92
cell ID:  135 	 	 real cell type: Ast 	 	 predicted cell type: Ast 	 	 probability: 0.97
cell ID:  136 	 	 real cell type: OPC 	 	 predicted cell type: OPC 	 	 probability: 0.87
cell ID:  137 	 	 real cell type: OliM 	 	 predicted cell type: OliM 	 	 probability: 0.94
cell ID:  138 	 	 real cell type: E6Tle4 	 	 predicted cell type: OliM 	 	 probability: 0.34
cell ID:  139 	 	 real cell type: OliM 	 	 predicted cell type: OliM 	 	 probability: 0.9
cell ID:  140 	 	 real cell type: OliM 	 	 predicted cell type: OliM 	 	 probability: 0.88
cell ID:  141 	 	 real cell type: OliM 	 	 predicted cell type: OliM 	 	 probability: 0.88
cell ID:  142 	 	 real cell type: OliM 	 	 predicted cell type: OliM 	 	 probability: 0.41
cell ID:  143 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.73
cell ID:  144 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.91
cell ID:  145 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.92
cell ID:  146 	 	 real cell type: E5Sulf1 	 	 predicted cell type: E5Sulf1 	 	 probability: 0.2
cell ID:  147 	 	 real cell type: OliM 	 	 predicted cell type: OliM 	 	 probability: 0.91
cell ID:  148 	 	 real cell type: InS 	 	 predicted cell type: InS 	 	 probability: 0.48
cell ID:  149 	 	 real cell type: E4Thsd7a 	 	 predicted cell type: E4Thsd7a 	 	 probability: 0.64
cell ID:  150 	 	 real cell type: E5Sulf1 	 	 predicted cell type: E6Tle4 	 	 probability: 0.41
cell ID:  151 	 	 real cell type: E3Rmst 	 	 predicted cell type: E3Rorb 	 	 probability: 0.75
cell ID:  152 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.92
cell ID:  153 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.9
cell ID:  154 	 	 real cell type: InS 	 	 predicted cell type: InS 	 	 probability: 0.85
cell ID:  155 	 	 real cell type: E3Rorb 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.88
cell ID:  156 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.89
cell ID:  157 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.91
cell ID:  158 	 	 real cell type: InV 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.36
cell ID:  159 	 	 real cell type: E5Sulf1 	 	 predicted cell type: E6Tle4 	 	 probability: 0.86
cell ID:  160 	 	 real cell type: E3Rmst 	 	 predicted cell type: E3Rorb 	 	 probability: 0.84
cell ID:  161 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.94
cell ID:  162 	 	 real cell type: InS 	 	 predicted cell type: InS 	 	 probability: 0.89
cell ID:  163 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.91
cell ID:  164 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.9
cell ID:  165 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.94
cell ID:  166 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E4Il1rapl2 	 	 probability: 0.93
cell ID:  167 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.93
cell ID:  168 	 	 real cell type: E4Thsd7a 	 	 predicted cell type: E4Thsd7a 	 	 probability: 0.95
cell ID:  169 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.88
cell ID:  170 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.92
cell ID:  171 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E4Il1rapl2 	 	 probability: 0.84
cell ID:  172 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.92
cell ID:  173 	 	 real cell type: E4Thsd7a 	 	 predicted cell type: E4Thsd7a 	 	 probability: 0.96
cell ID:  174 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.94
cell ID:  175 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.93
cell ID:  176 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.68
cell ID:  177 	 	 real cell type: InN 	 	 predicted cell type: InN 	 	 probability: 0.79
cell ID:  178 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.9
cell ID:  179 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.91
cell ID:  180 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.9
cell ID:  181 	 	 real cell type: E5Sulf1 	 	 predicted cell type: E4Il1rapl2 	 	 probability: 0.76
cell ID:  182 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.95
cell ID:  183 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.91
cell ID:  184 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.9
cell ID:  185 	 	 real cell type: Clau 	 	 predicted cell type: Clau 	 	 probability: 0.9
cell ID:  186 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E5Parm1 	 	 probability: 0.89
cell ID:  187 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.92
cell ID:  188 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.93
cell ID:  189 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.93
cell ID:  190 	 	 real cell type: InV 	 	 predicted cell type: InV 	 	 probability: 0.98
cell ID:  191 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.86
cell ID:  192 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.76
cell ID:  193 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.9
cell ID:  194 	 	 real cell type: InN 	 	 predicted cell type: InN 	 	 probability: 0.84
cell ID:  195 	 	 real cell type: InP 	 	 predicted cell type: InP 	 	 probability: 0.92
cell ID:  196 	 	 real cell type: E5Parm1 	 	 predicted cell type: E5Parm1 	 	 probability: 0.92
cell ID:  197 	 	 real cell type: E3Rorb 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.83
cell ID:  198 	 	 real cell type: InP 	 	 predicted cell type: InP 	 	 probability: 0.91
cell ID:  199 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E4Il1rapl2 	 	 probability: 0.92
cell ID:  200 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.92
cell ID:  201 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E3Rorb 	 	 probability: 0.72
cell ID:  202 	 	 real cell type: E6Tle4 	 	 predicted cell type: E5Sulf1 	 	 probability: 0.41
cell ID:  203 	 	 real cell type: E4Thsd7a 	 	 predicted cell type: E4Thsd7a 	 	 probability: 0.94
cell ID:  204 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.83
cell ID:  205 	 	 real cell type: E4Thsd7a 	 	 predicted cell type: E4Thsd7a 	 	 probability: 0.97
cell ID:  206 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.91
cell ID:  207 	 	 real cell type: InN 	 	 predicted cell type: InN 	 	 probability: 0.85
cell ID:  208 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.89
cell ID:  209 	 	 real cell type: Clau 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.32
cell ID:  210 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.89
cell ID:  211 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E4Il1rapl2 	 	 probability: 0.92
cell ID:  212 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.92
cell ID:  213 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.94
cell ID:  214 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.93
cell ID:  215 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.82
cell ID:  216 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.88
cell ID:  217 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.9
cell ID:  218 	 	 real cell type: E4Thsd7a 	 	 predicted cell type: E4Thsd7a 	 	 probability: 0.95
cell ID:  219 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.94
cell ID:  220 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.58
cell ID:  221 	 	 real cell type: E3Rmst 	 	 predicted cell type: E3Rmst 	 	 probability: 0.81
cell ID:  222 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.9
cell ID:  223 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.87
cell ID:  224 	 	 real cell type: Clau 	 	 predicted cell type: Clau 	 	 probability: 0.62
cell ID:  225 	 	 real cell type: E4Thsd7a 	 	 predicted cell type: E4Thsd7a 	 	 probability: 0.63
cell ID:  226 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.94
cell ID:  227 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.89
cell ID:  228 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.9
cell ID:  229 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.9
cell ID:  230 	 	 real cell type: E5Parm1 	 	 predicted cell type: E5Parm1 	 	 probability: 0.86
cell ID:  231 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.89
cell ID:  232 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E4Il1rapl2 	 	 probability: 0.85
cell ID:  233 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.89
cell ID:  234 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.92
cell ID:  235 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.89
cell ID:  236 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.42
cell ID:  237 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.91
cell ID:  238 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E4Thsd7a 	 	 probability: 0.65
cell ID:  239 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.94
cell ID:  240 	 	 real cell type: E3Rorb 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.23
cell ID:  241 	 	 real cell type: InS 	 	 predicted cell type: InP 	 	 probability: 0.56
cell ID:  242 	 	 real cell type: InN 	 	 predicted cell type: InN 	 	 probability: 0.9
cell ID:  243 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.92
cell ID:  244 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.93
cell ID:  245 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.94
cell ID:  246 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.91
cell ID:  247 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.76
cell ID:  248 	 	 real cell type: E4Thsd7a 	 	 predicted cell type: E3Rorb 	 	 probability: 0.38
cell ID:  249 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.91
cell ID:  250 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.91
cell ID:  251 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.95
cell ID:  252 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.8
cell ID:  253 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.79
