,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
cell_10,0.10732458,-2.4270308,-0.14034072,-0.93201447,0.8525424,1.4900751,0.04203762,0.66899824,-0.9700035,-1.4458766,-0.8115273,-1.5213771,-0.65086854,2.1636062,0.7313073,-0.28827018,-0.83722806,-1.4559809,0.6446332,-1.3154498,2.244978,1.2533292,-0.36304218,-1.2552221,-2.1029148,-2.260378,-1.5539029,-0.08664277,-2.4905288,0.19047853,-0.36500746,1.7893881,-0.053264827,2.0643487,2.9638515,-1.0351808,1.350838,-2.2549806,-2.016071,-1.4154454,0.09448382,1.18852,-2.3770301,-0.15691802,-1.4193903,-1.7705,1.4889321,0.47578976,1.559369,-2.1919892,0.7597894,-0.99697006,1.4374673,0.91197205,-0.8109555,-1.3282592,0.31223896,-0.89454496,2.612885,-0.15633658,1.6559322,-1.1984321,-0.8038882,0.1502203
cell_11,0.5865421,1.3387125,1.2177868,-0.9210824,-0.7904422,-0.991881,1.2186601,-1.5162036,1.9900652,-3.0359712,0.09659289,0.45555562,-0.062626384,1.0716801,-0.68326783,-1.0086604,1.6027874,-0.10100049,0.09361619,-0.2666718,-0.2895436,-0.5092089,0.05634035,-1.8890018,-0.5791132,-0.38117778,0.27023068,-1.1958976,-2.1384442,0.21423456,-0.10671629,-2.308565,-1.9621732,-0.6358192,0.5692775,0.21660292,-0.2755526,0.35461563,0.20769447,0.4587481,0.18226129,-1.2022288,-1.2102456,-0.56696594,-2.330804,-0.4654426,-2.71607,0.09324098,1.925251,-1.3351387,1.017545,0.8059922,-0.47578257,-0.6415435,0.9391242,0.9806723,1.4720418,1.4964907,-0.5215224,-0.21773174,-1.4975708,0.43974844,-1.123315,0.7154583
cell_12,-1.0998483,1.5235918,-1.0873659,0.75043505,-1.1064668,-0.500969,0.68562496,-1.3058735,-0.9737861,0.12425095,1.9187477,0.19418365,0.80664766,1.8731784,-0.8114626,0.657426,-0.54700863,-0.8155225,1.8003788,-1.3263756,1.148049,0.902394,1.3357197,0.5678846,0.33905488,-0.11588761,-2.1762474,-1.334317,0.43202782,1.0662667,-0.5587857,-1.6019667,0.32825947,-1.263595,-0.16717544,0.46393096,1.4764286,-1.7130243,1.2141554,1.2402413,-0.5747698,-1.5205318,-1.7348657,0.45936206,-0.12112176,-1.1810513,-0.9214937,-1.5190773,1.7045786,0.31920335,0.5474616,1.1510437,-0.21168745,-0.0028384281,-0.6706885,-0.3297332,1.0492706,-1.154527,-0.5550749,1.6981936,0.030395716,-0.7304431,1.0903784,0.04094404
cell_13,-1.9417633,1.7055267,-0.12510371,-1.8323717,1.8971237,0.3057719,-1.3684059,-0.74520993,0.7567259,-1.2303225,-1.2486665,-1.5617069,1.7569944,2.5315928,-0.16432713,-1.6139032,-1.7501149,-0.55832654,1.4799998,-0.5802238,-0.75769526,-0.9270599,1.0998217,-0.3650615,0.40405738,-1.9641829,-2.3012893,1.1936373,0.83656234,0.38027874,-2.5032313,0.24130726,0.6399915,0.93747234,0.4176104,0.055567324,0.9297411,-1.2825395,-1.9474123,-1.8543632,1.4029939,1.8243625,-1.4773026,-0.14366591,-0.84704113,1.1880811,-0.75296795,-1.6759014,0.36074364,-3.010931,-0.5817642,-1.5922534,-0.16672738,-1.5053474,0.68217605,-2.2459958,0.64555687,-1.1633469,-1.1228787,-1.7402015,1.2880254,0.43951854,0.85197955,0.4865972
cell_14,-1.4182903,1.9185327,1.3945824,-0.16032293,0.33371875,1.2618407,-1.3969402,0.58070856,-0.044274777,-0.765257,0.640702,1.5882996,-1.6789982,-1.3153211,1.3328928,-0.99528474,-1.7922562,-1.6748905,-0.9268366,0.56247205,-1.2763054,1.5062526,0.8979215,1.3612108,-1.8293829,0.92662543,-1.0362246,1.2062912,-1.4084103,0.88153404,-0.97930324,-1.3401874,-1.4185872,0.52921116,-1.1248974,0.6192147,-1.5566461,1.0988047,-0.8272574,2.0010443,1.1747767,-1.5063434,-0.23250559,-0.8510206,0.9182453,-1.5479251,0.33179647,-0.9757814,0.70556366,-1.6456802,-0.87953854,1.2000576,-1.5273147,-1.7726202,0.8005535,-1.3590882,1.7879745,-0.93416166,1.7414081,1.6271052,0.39448518,-0.37143502,-1.457418,-0.68322235
cell_15,2.032619,1.9507004,-0.91149557,-1.4649973,1.8871133,2.2573683,0.4526735,2.1604679,-1.0393902,-2.0008602,0.63374555,1.7515111,0.37152714,-1.968147,-1.8887801,-1.7485286,0.11855374,0.8256258,-0.6884095,-0.9014263,1.7059742,1.5687534,-0.6340349,2.1795423,0.3120566,0.932819,-2.4730678,1.4870112,0.0867625,-2.0284445,1.7565395,-0.06217291,0.22237799,-1.0005647,-1.4041315,-0.79219997,2.704212,-1.1644194,-2.0856414,-0.8008564,1.9787565,1.5095623,-0.16476819,-0.77531445,-0.47801346,1.1323825,-2.0560255,-1.7214457,-0.96388215,-3.1287613,-0.6302362,-1.4834166,1.2101741,-0.14704363,1.0267347,-0.32949758,-1.6151378,0.87764233,-1.3666774,2.2331107,-1.6407323,1.0877907,1.4562801,-0.21091405
cell_16,-1.4965419,1.4649001,-1.24942,0.89637375,-0.9817028,-0.05063501,1.1319723,-1.3854477,-0.87671137,0.1916309,2.3922124,0.25504,0.63868165,1.8192289,-0.858754,0.90495586,-0.82926965,-0.93937117,2.1245706,-1.8532479,0.560354,0.6837153,1.439172,0.23629785,0.14212045,0.10667351,-1.4194125,-1.0088462,0.35426658,1.1989508,-0.92575675,-1.4048908,0.73861843,-1.563225,-0.48767328,0.51354843,1.5418977,-1.6701777,1.039494,1.9475623,-0.7911076,-1.4569842,-1.3278327,0.87648845,-0.49852973,-1.3395045,-0.9309689,-1.3779249,1.8685948,0.47275284,0.5690419,0.91794884,0.17674527,0.0341556,-0.26624367,0.7848618,0.8612248,-1.4351393,-0.3595579,1.27005,-0.073337376,-0.7241635,0.88580793,-0.44687033
cell_17,1.4368626,1.7999864,1.4027141,-1.0504345,0.7692223,-0.6682215,-0.8389499,-1.1525682,0.8279773,-1.7271259,-0.80046165,1.544747,-1.4853534,0.8868723,-1.056341,-0.8273889,0.6560852,-1.363857,1.4287984,0.2998138,1.0525469,1.2060658,-0.7126374,-1.1553725,0.59504193,-0.014777631,1.1644502,-1.3466231,0.59361947,1.2087609,0.7241624,-1.6316323,-1.4820547,0.90100855,-1.6260467,-1.2508922,1.1086617,1.5793207,-1.4729862,-0.6789434,1.1004492,-1.4581598,0.4977315,0.7148794,-1.5046293,-1.8172394,-1.8348598,-0.33541667,2.0292294,-2.45831,-0.65859425,0.75772804,-0.22026405,-1.7373714,-1.234648,1.4177175,-1.0241464,1.174819,2.3418493,0.75785756,-1.6493436,0.2745449,-1.1753606,1.7812955
cell_18,0.8784387,0.96202,-0.93186986,-0.69128335,1.8037072,2.0259628,0.27788004,2.2811322,-0.7318633,-1.6166282,0.42939556,2.0921814,0.4989034,-1.8561265,-1.3893396,-1.3153807,0.52608454,1.0790738,-0.74280745,-0.3178428,1.9594615,1.7468197,-1.0977746,2.1751735,1.1563057,1.0975245,-2.1552958,1.8529084,0.7867241,-1.2812445,1.1000546,0.08505452,0.6719976,-1.0078832,-1.2697049,-0.3005259,2.1939018,-0.89835715,-1.7094778,-0.7708893,2.6320946,1.4831553,-0.10445526,-0.8576716,0.14973496,2.1512978,-1.5452915,-0.820784,-0.7763972,-2.56037,-0.83630985,-1.6001625,1.8663675,0.0044770055,0.8065873,-1.4644902,-1.5940477,0.827759,-0.77234393,1.3470681,-1.9574454,1.2624918,1.4446391,-0.32613993
cell_19,-1.1293914,1.4626906,-1.0333531,0.5740638,-0.6787431,-1.1253334,0.5701004,-1.1763282,-1.1365255,-0.7731741,1.6278967,0.19775078,0.51896816,1.7166457,-0.7632301,0.37481323,-0.6263761,-1.3485882,1.197174,-2.288016,1.1418959,1.2144434,1.1521665,1.5215328,0.9418541,1.2559867,-1.7623489,-1.0097818,0.3715361,0.6742557,-1.4971159,-1.8080621,0.21576309,-0.49899995,-1.5517107,0.56130004,1.7197716,-0.8280407,0.6859641,1.0628905,-0.7687884,-0.85624784,-1.4746044,1.5919294,0.2575215,-1.2146357,-1.2769731,-1.2246093,1.6852953,0.2440121,1.3310837,1.0725994,0.3430238,0.14144228,-1.8467686,0.66669226,0.9515069,-1.4281704,-0.7713684,1.9317096,-0.53061634,-0.8241608,0.80627257,-0.29966903
cell_20,-1.06187,1.1469176,-1.0457965,0.38573432,-0.49475133,-0.5705365,0.5409324,-1.5898514,-0.69731516,-0.16384873,0.9936557,0.0005867183,0.52164054,1.8132229,-0.63587976,0.6083841,-0.7142616,-0.84725076,1.2459888,-2.1040416,0.76058745,0.8905591,1.1525764,0.57653165,0.7235758,0.4181106,-2.3483467,-1.1805967,0.58468044,1.1166915,-1.0611813,-1.5802962,0.4336568,-1.1231843,-0.64499843,0.17545822,1.22041,-1.0433068,0.8520675,1.4030131,-0.048612595,-1.1951942,-1.5436859,0.9197098,-0.12230327,-1.0548666,-0.97759885,-1.0632181,1.2233114,0.22150429,1.4823034,0.572464,0.86426693,0.030881884,-1.3155155,0.11108777,0.7586024,-1.4772654,-0.5189948,1.7022188,-0.5814102,-1.3314965,0.65762657,-0.018125668
cell_21,1.7680223,1.1338776,1.1377103,-0.7844072,0.077662885,0.44194758,-1.5408444,-1.3705062,1.4241078,-2.116902,-0.48331484,1.4994309,-2.3192844,1.044311,-1.1914457,-0.99485433,1.6590617,-0.9492185,1.2383976,0.46518698,0.2365756,1.1625619,-0.58867276,-0.9888135,-0.55462193,0.12975271,0.6699798,-1.8902637,0.15442261,1.4662027,0.53615046,-2.2112052,-2.0730867,0.77066517,-1.4539536,-0.9503888,1.5787084,1.4383417,-1.0032722,0.10424912,1.3007724,-1.7044196,0.0061491914,0.61602926,-1.8622948,-1.5408118,-2.2411537,-0.35606888,2.0289793,-1.7587938,-1.0299305,1.397002,-0.6038527,-1.7612271,-0.7993192,0.66337466,-1.3429782,1.4143455,1.6717181,0.5916641,-1.2813594,0.40620458,-1.4191839,1.8024124
cell_22,-1.810512,-0.7391261,1.3115225,-1.3548429,1.4666852,-0.71575105,-1.8643036,0.8820733,1.468014,0.3320438,-0.65010023,-1.1317521,-1.8675131,0.8099765,1.0821205,1.8508193,0.90116405,1.0014999,0.42983115,-3.0247223,-1.0950437,1.2148193,-0.8005974,1.5947827,0.82299376,-1.7589207,0.51991886,1.0547279,1.2957084,-0.9723687,0.40460658,0.4923763,-1.5819281,-1.6227785,-1.1340208,1.1461004,-0.6351908,-1.8913354,-1.3156078,1.6379056,-1.0650754,-1.6477693,0.18750703,1.2441547,-2.6484642,-0.7233832,0.59787494,0.26951987,-0.13536128,-1.4882258,-0.6672208,-1.3334721,-1.7660202,-2.7877886,-1.0081458,0.82597864,1.2779344,0.92708975,-0.44546235,-0.36546937,-1.5917368,-0.9902083,1.3596455,-0.4877473
cell_23,1.61747,0.82125604,-0.88459563,1.0832087,-0.74690527,-0.62115955,0.51145744,0.6626589,1.6134793,-1.9958575,0.23894082,-1.0675001,-1.4912901,-0.3182953,1.6867254,-0.7650926,-0.5610803,-0.42280614,-0.63046145,0.07514423,-0.002869323,-0.43384343,-0.3386015,0.7929472,-1.8582191,-1.5569776,0.959416,-0.4100731,0.56319684,-1.1643969,0.93296385,-1.0697024,-1.800876,-1.0681441,1.0136883,1.0753715,-0.7358766,-0.32520676,1.5742593,-0.9071227,0.6151225,0.70666933,1.1363226,1.3001987,-0.09313689,1.0091923,0.73336184,-1.565855,-1.1611588,-0.2827684,1.345443,1.530288,0.45081443,-1.5949944,-1.7668985,-1.1213874,-0.60291636,-1.1675197,1.5141845,1.0037292,-0.776015,-1.46657,-0.7659219,2.026156
cell_24,-1.1025571,1.275523,-0.8528301,0.49007148,-0.6807357,-0.751629,0.7621898,-1.2558427,-0.6801635,-0.27971587,1.3933667,0.62471366,0.32176834,1.6568455,-0.9901439,0.45105132,-0.79574734,-1.0520779,1.1764495,-1.8143313,0.9916959,1.269763,1.162328,0.8756873,0.47418198,1.3555238,-1.5767912,-1.41668,0.14181633,0.86596096,-1.0867643,-1.5662861,0.07762578,-0.8126273,-1.1507264,0.5259709,1.4710094,-1.1149313,1.0437831,1.0513843,-0.61194265,-1.6906964,-1.2595971,1.2430019,0.75276095,-1.8306841,-1.4371197,-1.1527082,1.2540156,0.0739212,1.2462393,1.216505,0.47452348,0.47621167,-1.0973305,0.7585633,2.019624,-1.046554,-0.6768029,1.383073,-0.45401394,-0.703876,0.58809495,-0.9586269
cell_25,1.2748058,0.93965745,-0.91566265,0.91837436,-0.35865244,-0.5901384,0.5729133,-0.05215448,1.5263594,-1.984495,0.07059917,-0.9449763,-2.0886545,-0.29629058,1.741653,-1.1100781,-0.6715602,-0.5035218,-0.7916769,0.5741774,0.13293436,-0.20956014,-0.5463721,0.9846206,-1.7770404,-1.2563448,0.67279655,-0.73438066,0.1780281,-0.9952123,1.0056543,-1.4638714,-2.2567372,-1.1432296,0.43201017,0.97882146,-0.83396876,-0.7919413,0.8216944,-0.7695468,0.6288628,0.4558801,0.91939527,1.0099274,0.23064703,0.6327647,1.131948,-1.4454427,-1.5045882,-0.006886542,1.0038499,1.1148192,0.5280596,-1.9434307,-1.1046667,-1.654907,-0.65454185,-1.1834643,1.1195064,0.92727065,-0.66684556,-1.5493926,-0.41154867,1.5851225
cell_26,-0.85221493,1.1220325,-0.20933199,0.31873506,-0.5967634,-1.269584,0.60405016,-1.1240661,-0.8758591,0.07098223,1.2287607,0.32978034,1.0312086,0.92599255,-1.0396526,0.8408169,-0.042336553,-1.1942449,2.353157,-1.289321,0.6418941,1.4181842,0.98885065,0.82223344,0.37723872,0.35871798,-1.1449088,-1.2359779,0.16036338,0.9329285,-0.6004862,-1.8937492,-0.0048923045,-0.5355606,-0.9460187,0.2899872,1.5246896,-1.1858017,0.14162537,0.63251346,-0.5253036,-1.1405147,-1.3669754,1.637739,0.34332228,-1.832384,-1.8433512,-0.88548756,1.1310512,0.09417575,1.5653042,0.6845596,0.24956462,0.6996111,-0.8341346,1.3410027,0.77473986,-0.4893893,-0.4752748,1.4211454,-0.065354735,-0.82550144,0.70068634,-0.063289315
cell_27,1.2808793,0.99594384,-0.9334029,0.68887675,-0.2251279,-0.8099888,0.7012973,0.46007508,1.3961809,-1.5332898,0.15727831,-1.1733465,-1.8804085,-0.2908436,1.5127435,-0.86387926,-1.0223362,-0.7247318,-1.1778628,0.3927105,-0.003737241,-0.44209063,-0.53042847,1.517154,-1.7918648,-0.8995526,0.9851271,-0.81547004,0.43515575,-0.35478622,0.5667571,-1.496618,-2.1679296,-1.575989,1.1093386,0.92417246,-0.72137547,-0.4645273,0.92616934,-0.8560278,0.30114058,1.023352,0.72173005,1.0047325,0.42186892,0.7448196,1.1081741,-1.5702106,-0.89128006,0.009848759,1.4831697,0.61945,0.4895017,-1.2279807,-2.0338414,-0.8257188,-0.56000084,-1.2469072,1.2697084,0.89008397,-0.70390105,-1.6440481,-1.2550681,1.6256716
cell_28,-0.61575526,1.3513023,-1.374245,0.7020276,-0.6330465,-1.3683212,0.6420072,-1.1435373,-0.41209072,-0.08938662,0.9206193,0.318663,0.45995438,2.0414238,-0.52546805,0.9421914,-0.50336313,-0.6432018,1.4130054,-1.7432582,0.7280044,1.0819429,0.49332973,0.9638661,0.9406692,0.8634237,-0.52635086,-1.1133355,0.6369423,0.8774382,-0.18858956,-1.6897156,0.62190014,-0.8219404,-0.7030707,0.363364,1.1245657,-0.3125198,0.80686027,1.4898059,-0.7567376,-1.6188802,-1.1615113,1.0172403,0.8455657,-2.1243756,-1.6983682,-1.2440625,1.2858056,0.33440554,0.9596749,1.1648626,0.74248606,0.30513513,-1.6561873,0.5863789,1.5143498,-0.99211425,-0.40512002,1.519148,-1.0854487,-1.3041011,0.8307617,-0.258232
cell_29,0.56983066,0.5034314,-1.2823762,0.4595804,-0.48921248,-1.136652,0.507023,-0.9238508,-0.008294828,-1.4873635,0.7518787,0.43580556,-0.6035439,1.7075819,0.3081041,0.42012274,-0.22078723,-0.34816766,1.3143666,-1.4838752,0.97424364,0.68963,0.3000753,1.3625758,0.07390369,1.1586226,-0.02922976,-0.69622016,0.12043837,0.026876546,-0.19234714,-1.7625641,-1.400852,-0.21852927,-1.4641277,1.1341854,1.1889061,-0.0006154068,1.5513082,0.45560846,0.40183198,-0.2835132,0.013951041,1.3599229,0.9944033,-0.48589224,-1.1254594,-1.2072549,0.2317535,0.18354702,3.0900764,1.8596913,0.25192362,0.2597379,-2.3242815,0.08211994,-0.17286408,-1.7193239,0.41574627,1.6243819,-0.5301488,-1.7995108,0.053697348,0.7952802
cell_30,-1.5130707,-0.6690454,0.8361672,-0.60236335,1.2513295,-0.5046973,-1.6141983,0.8117738,1.3576984,0.35776484,-0.2490443,-0.9027123,-1.7480456,1.2546731,1.1911161,0.9786836,1.2383833,0.8545712,-0.1424533,-2.3499916,-1.0268465,0.9614602,-0.4639744,1.5795537,0.4095705,-2.109853,0.52875984,1.2977697,0.5440607,-0.6408938,0.5536895,0.35234818,-1.6123914,-1.5821881,-1.0997819,1.1688263,-0.87980795,-1.2605565,-1.111265,1.5689605,-0.9801636,-1.2761182,0.66921484,1.3962553,-2.2654896,-0.8381714,0.92847383,0.35294622,-0.3313661,-2.0987942,-0.47570616,-1.1661766,-1.9004698,-2.095572,-1.1385387,0.8520544,1.2688224,0.7680573,-0.2598918,0.11429793,-1.5900204,-0.89603305,1.0130606,-0.73919505
